                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    165,                0.76129,                0.51685,                0.80577,                      0,                      0,                      0,                      0,                      0,                 268.28,                      0,              0.0004621,              0.0004621,              0.0004621
                    166,                0.75566,                0.52297,                0.79872,                      0,                      0,                      0,                      0,                      0,                  249.5,                      0,              0.0004588,              0.0004588,              0.0004588
                    167,                0.78153,                0.52473,                0.80745,                      0,                      0,                      0,                      0,                      0,                 261.81,                      0,              0.0004555,              0.0004555,              0.0004555
                    168,                0.77549,                0.52942,                0.79621,                      0,                      0,                      0,                      0,                      0,                 284.56,                      0,              0.0004522,              0.0004522,              0.0004522
                    169,                0.76409,                0.52907,                0.79347,                      0,                      0,                      0,                      0,                      0,                 295.25,                      0,              0.0004489,              0.0004489,              0.0004489
                    170,                0.77008,                0.52781,                0.79371,                      0,                      0,                      0,                      0,                      0,                 285.81,                      0,              0.0004456,              0.0004456,              0.0004456
                    171,                0.75712,                 0.5234,                0.80183,                      0,                      0,                      0,                      0,                      0,                 288.75,                      0,              0.0004423,              0.0004423,              0.0004423
                    172,                 0.7736,                0.50922,                0.80223,                      0,                      0,                      0,                      0,                      0,                 293.19,                      0,               0.000439,               0.000439,               0.000439
                    173,                0.76153,                0.51951,                0.79546,                      0,                      0,                      0,                      0,                      0,                 291.94,                      0,              0.0004357,              0.0004357,              0.0004357
                    174,                0.77203,                0.51689,                0.79453,                      0,                      0,                      0,                      0,                      0,                 285.88,                      0,              0.0004324,              0.0004324,              0.0004324
                    175,                0.75912,                0.50906,                0.80268,                      0,                      0,                      0,                      0,                      0,                 285.19,                      0,              0.0004291,              0.0004291,              0.0004291
                    176,                0.73713,                0.49456,                0.79904,                      0,                      0,                      0,                      0,                      0,                 322.62,                      0,              0.0004258,              0.0004258,              0.0004258
                    177,                0.73545,                0.47652,                0.80483,                      0,                      0,                      0,                      0,                      0,                 323.56,                      0,              0.0004225,              0.0004225,              0.0004225
                    178,                 0.7685,                0.51839,                0.79611,                      0,                      0,                      0,                      0,                      0,                 313.19,                      0,              0.0004192,              0.0004192,              0.0004192
                    179,                0.77437,                0.50126,                 0.8054,                      0,                      0,                      0,                      0,                      0,                 302.06,                      0,              0.0004159,              0.0004159,              0.0004159
                    180,                 0.8298,                0.52803,                0.80913,                      0,                      0,                      0,                      0,                      0,                 300.31,                      0,              0.0004126,              0.0004126,              0.0004126
                    181,                0.78506,                0.50632,                0.79401,                      0,                      0,                      0,                      0,                      0,                 300.31,                      0,              0.0004093,              0.0004093,              0.0004093
                    182,                0.76214,                 0.4989,                0.80511,                      0,                      0,                      0,                      0,                      0,                 260.16,                      0,               0.000406,               0.000406,               0.000406
                    183,                0.77899,                0.49417,                0.79702,                      0,                      0,                      0,                      0,                      0,                  251.5,                      0,              0.0004027,              0.0004027,              0.0004027
